gene	group1	group2	padj.edgeR	pvalue.edgeR	logFC.edgeR	padj.DESeq2	pvalue.DESeq2	logFC.DESeq2	description
Solyc11g068730.2	A.28.75	A.34.75	2.37e-05	1.86e-07	2.862	0.00134	8.94e-06	2.892	Nitrilase (AHRD V3.3 *** G4VV63_CAMSI)
Solyc11g068940.1	A.28.75	A.34.75	3.12e-05	2.54e-07	2.92	5.67e-06	2.11e-08	2.933	RING-type E3 ubiquitin transferase (AHRD V3.3 *** A0A2G2VPS7_CAPBA)
Solyc11g071830.2	A.28.75	A.34.75	1.39e-12	4.27e-15	4.784	9.63e-08	2.24e-10	4.78	DnaJ protein like (AHRD V3.3 *** A0A2I0X6P9_9ASPA)
Solyc12g005980.2	A.28.75	A.34.75	0.013	0.000167	1.099	0.00158	1.09e-05	1.097	WLM domain-containing protein/PUB domain-containing protein (AHRD V3.3 *** A0A1Q3B398_CEPFO)
Solyc12g010450.3	A.28.75	A.34.75	0.000988	1.02e-05	2.118	0.00121	7.81e-06	2.123	Protein phosphatase 2C (AHRD V3.3 *** B4FDN2_MAIZE)
Solyc12g015880.2	A.28.75	A.34.75	1.97e-06	1.31e-08	2.542	0.00457	3.73e-05	2.538	Heat shock protein 90-1
Solyc12g043110.2	A.28.75	A.34.75	0.000158	1.46e-06	2.016	6.08e-06	2.33e-08	2.016	LETSW12
Solyc12g043120.2	A.28.75	A.34.75	0.000603	6.13e-06	1.25	3.25e-05	1.49e-07	1.249	Heat shock protein 70 family (AHRD V3.3 *** A0A200PNX6_9MAGN)
Solyc12g056780.2	A.28.75	A.34.75	0.0107	0.000133	1.558	0.0134	0.000126	1.56	HSP20-like chaperone (AHRD V3.3 *** A0A2U1QD54_ARTAN)
Solyc12g089210.2	A.28.75	A.34.75	1.53e-05	1.16e-07	3.247	1.23e-05	5.27e-08	3.271	Ornithine carbamoyltransferase (AHRD V3.3 *** A0A2G2YA09_CAPAN)
Solyc12g099980.3	A.28.75	A.34.75	2.22e-12	7.51e-15	4.373	2.71e-09	3.56e-12	4.425	receptor-like protein 12 (AHRD V3.3 *** A0A1U8F785_CAPAN)
Solyc12g099990.2	A.28.75	A.34.75	0.000182	1.69e-06	1.17	3.98e-05	1.86e-07	1.17	Calmodulin 5
Solyc06g072430.3	F.28.15	F.34.15	1.75e-06	2.07e-10	2.512	0.00891	5.43e-07	2.524	BAG family molecular chaperone regulator 5, mitochondrial (AHRD V3.3 *-* A0A2I0XHJ2_9ASPA)
Solyc01g081250.3	F.28.30	F.34.30	0.000107	2.27e-07	2.743	0.0331	3.66e-05	2.764	Glutathione S-transferase (AHRD V3.3 *** A0A200PVK3_9MAGN)
Solyc01g095320.4	F.28.30	F.34.30	1.57e-12	2.02e-15	2.998	4.28e-08	2.63e-11	3.005	Bag family molecular chaperone regulator 6-like protein (AHRD V3.3 *** A0A2K3PRI9_TRIPR)
Solyc01g102960.3	F.28.30	F.34.30	2.89e-07	5.09e-10	3.386	0.00228	2.1e-06	3.421	22.0 kDa class IV heat shock protein (AHRD V3.3 *** A0A2G3ATG3_CAPCH)
Solyc01g104740.3	F.28.30	F.34.30	2.38e-16	2.51e-19	3.205	4.37e-09	2.15e-12	3.209	Multiprotein-bridging factor 1c (AHRD V3.3 *** A0A1U8F6N4_CAPAN)
Solyc02g088610.4	F.28.30	F.34.30	0.000484	1.14e-06	2.043	NA	NA	NA	NA
Solyc03g007890.3	F.28.30	F.34.30	1.01e-43	2.37e-47	3.769	2.48e-27	7.63e-31	3.774	class 2 small heat shock protein Le-HSP17.6
Solyc03g115230.3	F.28.30	F.34.30	3.02e-36	1.42e-39	2.838	3.49e-28	6.44e-32	2.835	Solanum lycopersicum heat shock protein
Solyc03g117630.1	F.28.30	F.34.30	0.0182	4.71e-05	2.119	NA	NA	NA	NA
Solyc04g011440.4	F.28.30	F.34.30	6.08e-17	5.72e-20	3.196	5.58e-08	3.77e-11	3.216	ethylene-responsive heat shock protein cognate 70
Solyc04g072160.3	F.28.30	F.34.30	1.75e-05	3.49e-08	3.238	NA	NA	NA	NA
Solyc06g036290.3	F.28.30	F.34.30	7.5e-35	5.29e-38	3.335	1.02e-22	3.76e-26	3.334	heat shock protein 90
Solyc06g072430.3	F.28.30	F.34.30	6.8e-40	2.4e-43	3.696	8e-29	9.83e-33	3.699	BAG family molecular chaperone regulator 5, mitochondrial (AHRD V3.3 *-* A0A2I0XHJ2_9ASPA)
Solyc06g076020.3	F.28.30	F.34.30	5.74e-35	3.37e-38	1.968	1.01e-27	2.48e-31	1.962	heat shock protein 70 kD
Solyc07g065840.2	F.28.30	F.34.30	6.22e-10	8.77e-13	0.941	1.77e-07	1.31e-10	0.935	molecular chaperone Hsp90-2
Solyc08g006980.3	F.28.30	F.34.30	0.0249	6.72e-05	1.855	NA	NA	NA	NA
Solyc08g062437.1	F.28.30	F.34.30	8.91e-06	1.68e-08	2.762	0.00309	3.04e-06	2.772	17.9 kDa class II heat shock protein (AHRD V3.3 *** A0A2G3CY92_CAPCH)
Solyc08g078700.2	F.28.30	F.34.30	2.8e-19	2.3e-22	3.388	4.83e-09	2.67e-12	3.41	mitochondrial small heat shock protein
Solyc10g078930.2	F.28.30	F.34.30	0.000166	3.71e-07	0.895	0.0148	1.55e-05	0.89	Activator of 90 kDa heat shock protein ATPase-like protein 1 (AHRD V3.3 *** A0A1J3GDI7_NOCCA)
Solyc10g084170.1	F.28.30	F.34.30	6.53e-09	1.08e-11	4.479	0.00056	4.82e-07	4.606	Bag family molecular chaperone regulator mitochondrial-like (AHRD V3.3 *** A0A2K3P7D1_TRIPR)
Solyc11g066060.3	F.28.30	F.34.30	9.44e-13	1.11e-15	1.221	6.3e-10	2.71e-13	1.215	70 kDa heat shock protein (AHRD V3.3 *** Q943K7_ORYSJ)
Solyc11g066100.2	F.28.30	F.34.30	1.5e-56	1.76e-60	2.999	1.94e-45	1.19e-49	2.996	Heat shock protein 70 (AHRD V3.3 *** S8C6K2_9LAMI)
Solyc11g071830.2	F.28.30	F.34.30	0.00852	2.1e-05	1.917	NA	NA	NA	NA
Solyc12g015880.2	F.28.30	F.34.30	8.01e-10	1.22e-12	1.196	4.6e-06	3.67e-09	1.192	Heat shock protein 90-1
Solyc01g081250.3	F.28.45	F.34.45	6.35e-21	5.94e-24	3.441	9.19e-15	7.06e-18	3.461	Glutathione S-transferase (AHRD V3.3 *** A0A200PVK3_9MAGN)
Solyc01g095320.4	F.28.45	F.34.45	2.5e-31	1.17e-34	3.528	5.29e-31	1.36e-34	3.538	Bag family molecular chaperone regulator 6-like protein (AHRD V3.3 *** A0A2K3PRI9_TRIPR)
Solyc01g102960.3	F.28.45	F.34.45	2.44e-15	3.71e-18	3.423	1.61e-09	1.65e-12	3.457	22.0 kDa class IV heat shock protein (AHRD V3.3 *** A0A2G3ATG3_CAPCH)
Solyc01g104740.3	F.28.45	F.34.45	7.2e-11	1.52e-13	2.084	4.88e-06	7.51e-09	2.097	Multiprotein-bridging factor 1c (AHRD V3.3 *** A0A1U8F6N4_CAPAN)
NA	NA	NA	NA	NA	NA	0.0339	6.95e-05	5.947	LeftsH6FtsH protease
Solyc02g088610.4	F.28.45	F.34.45	7.05e-11	1.4e-13	2.755	1.15e-06	1.57e-09	2.775	LeHSP110/ClpB heat shock protein
Solyc03g007890.3	F.28.45	F.34.45	2.91e-35	1.02e-38	3.713	1.02e-33	1.74e-37	3.723	class 2 small heat shock protein Le-HSP17.6
Solyc03g082420.3	F.28.45	F.34.45	3.9e-06	1e-08	2.867	0.0494	0.000105	2.899	Small heat shock protein, chloroplastic (AHRD V3.3 *** HS21C_SOLLC)
Solyc03g115230.3	F.28.45	F.34.45	2.91e-35	7.91e-39	2.84	2.29e-36	1.96e-40	2.846	Solanum lycopersicum heat shock protein
Solyc03g117630.1	F.28.45	F.34.45	1.05e-20	1.1e-23	3.769	4.28e-12	3.65e-15	3.801	Heat shock 70 kDa protein (AHRD V3.3 *** A0A1U8FVW2_CAPAN)
Solyc03g120090.1	F.28.45	F.34.45	0.00193	5.4e-06	1.229	NA	NA	NA	NA
Solyc03g123540.3	F.28.45	F.34.45	4.16e-08	9.72e-11	4.116	0.0282	5.53e-05	4.308	17.4 kDa class III heat shock protein (AHRD V3.3 *** A0A2G3D1F4_CAPCH)
Solyc04g011440.4	F.28.45	F.34.45	2.85e-25	2e-28	3.42	3.5e-16	2.24e-19	3.445	ethylene-responsive heat shock protein cognate 70
Solyc04g072160.3	F.28.45	F.34.45	7.24e-20	9.32e-23	4.065	1.11e-08	1.23e-11	4.13	ripening regulated protein DDTFR8
Solyc06g036290.3	F.28.45	F.34.45	1.86e-20	2.18e-23	2.964	4.08e-23	1.74e-26	2.971	heat shock protein 90
Solyc06g072430.3	F.28.45	F.34.45	3.49e-26	2.04e-29	3.08	5.32e-23	2.72e-26	3.088	BAG family molecular chaperone regulator 5, mitochondrial (AHRD V3.3 *-* A0A2I0XHJ2_9ASPA)
Solyc06g076020.3	F.28.45	F.34.45	0.0127	4.02e-05	1.262	NA	NA	NA	NA
Solyc06g076560.2	F.28.45	F.34.45	1.3e-07	3.19e-10	3.126	0.00769	1.38e-05	3.181	Class I heat shock protein (AHRD V3.3 *** A0A2K3M3P7_TRIPR)
Solyc06g083190.4	F.28.45	F.34.45	0.000307	8.26e-07	2.062	NA	NA	NA	NA
Solyc08g062437.1	F.28.45	F.34.45	4.16e-15	6.81e-18	3.438	7.12e-12	6.68e-15	3.459	17.9 kDa class II heat shock protein (AHRD V3.3 *** A0A2G3CY92_CAPCH)
Solyc08g078700.2	F.28.45	F.34.45	4.26e-38	4.99e-42	3.754	2.42e-24	8.28e-28	3.775	mitochondrial small heat shock protein
Solyc09g092690.3	F.28.45	F.34.45	2.75e-12	5.15e-15	4.214	7.03e-08	9e-11	4.264	Peptidylprolyl isomerase (AHRD V3.3 *** A0A2G2W2H8_CAPBA)
Solyc10g078930.2	F.28.45	F.34.45	0.0113	3.43e-05	0.943	0.00797	1.5e-05	0.947	Activator of 90 kDa heat shock protein ATPase-like protein 1 (AHRD V3.3 *** A0A1J3GDI7_NOCCA)
Solyc10g084170.1	F.28.45	F.34.45	1.73e-15	2.43e-18	3.746	4.76e-08	5.69e-11	3.786	Bag family molecular chaperone regulator mitochondrial-like (AHRD V3.3 *** A0A2K3P7D1_TRIPR)
Solyc11g066060.3	F.28.45	F.34.45	0.011	3.23e-05	0.82	0.00761	1.3e-05	0.823	70 kDa heat shock protein (AHRD V3.3 *** Q943K7_ORYSJ)
Solyc11g066100.2	F.28.45	F.34.45	1.26e-13	2.22e-16	2.392	8.35e-06	1.35e-08	2.398	Heat shock protein 70 (AHRD V3.3 *** S8C6K2_9LAMI)
Solyc11g071830.2	F.28.45	F.34.45	2.92e-24	2.39e-27	4.099	3.5e-16	2.39e-19	4.129	DnaJ protein like (AHRD V3.3 *** A0A2I0X6P9_9ASPA)
Solyc12g015880.2	F.28.45	F.34.45	1.24e-08	2.77e-11	1.175	1.5e-06	2.18e-09	1.178	Heat shock protein 90-1
Solyc01g068110.2	F.28.75	F.34.75	0.0249	0.000146	0.864	NA	NA	NA	NA
Solyc01g081250.3	F.28.75	F.34.75	1.51e-41	1.78e-44	4.903	3.03e-44	1.29e-47	4.921	Glutathione S-transferase (AHRD V3.3 *** A0A200PVK3_9MAGN)
Solyc01g095320.4	F.28.75	F.34.75	8.18e-49	6.74e-52	4.304	2.29e-15	2.92e-18	4.328	Bag family molecular chaperone regulator 6-like protein (AHRD V3.3 *** A0A2K3PRI9_TRIPR)
Solyc01g102960.3	F.28.75	F.34.75	7.59e-47	7.14e-50	4.792	4.99e-34	2.83e-37	4.817	22.0 kDa class IV heat shock protein (AHRD V3.3 *** A0A2G3ATG3_CAPCH)
Solyc01g104740.3	F.28.75	F.34.75	9.91e-33	1.63e-35	3.707	1.5e-31	1.06e-34	3.718	Multiprotein-bridging factor 1c (AHRD V3.3 *** A0A1U8F6N4_CAPAN)
Solyc01g107080.3	F.28.75	F.34.75	1.46e-10	5.51e-13	5.293	0.000807	2.06e-06	5.542	HXXXD-type acyl-transferase family protein (AHRD V3.3 *** A0A2K3MRI0_TRIPR)
Solyc02g077670.3	F.28.75	F.34.75	2.55e-12	8.7e-15	4.758	0.000283	6.62e-07	4.931	DnaJ-like protein (AHRD V3.3 *** Q9SP09_TOBAC)
Solyc02g081550.3	F.28.75	F.34.75	8.85e-06	4.58e-08	3.911	NA	NA	NA	NA
Solyc02g088610.4	F.28.75	F.34.75	9.37e-16	2.75e-18	2.68	3.35e-10	6.17e-13	2.695	LeHSP110/ClpB heat shock protein
Solyc03g007890.3	F.28.75	F.34.75	7.08e-65	2.5e-68	4.257	9.34e-77	1.33e-80	4.265	class 2 small heat shock protein Le-HSP17.6
Solyc03g031620.3	F.28.75	F.34.75	0.0163	9.42e-05	1.621	NA	NA	NA	NA
Solyc03g082420.3	F.28.75	F.34.75	6.75e-25	1.67e-27	4.968	2.08e-10	3.69e-13	5.053	Small heat shock protein, chloroplastic (AHRD V3.3 *** HS21C_SOLLC)
Solyc03g112140.4	F.28.75	F.34.75	1.33e-07	6.72e-10	3.309	0.0166	4.95e-05	3.384	MAP kinase kinase kinase 27
Solyc03g115230.3	F.28.75	F.34.75	4.52e-75	5.32e-79	4.051	1.58e-89	1.12e-93	4.056	Solanum lycopersicum heat shock protein
Solyc03g117630.1	F.28.75	F.34.75	1.13e-19	3.04e-22	4.316	4.14e-19	4.4e-22	4.342	Heat shock 70 kDa protein (AHRD V3.3 *** A0A1U8FVW2_CAPAN)
Solyc03g120090.1	F.28.75	F.34.75	4.32e-08	1.93e-10	2.095	3.35e-07	7.12e-10	2.105	Pyridoxal 5'-phosphate synthase pdxS subunit (AHRD V3.3 *** U9T0K3_RHIID)
Solyc03g123540.3	F.28.75	F.34.75	1.38e-26	2.92e-29	5.635	1.42e-07	2.91e-10	5.81	17.4 kDa class III heat shock protein (AHRD V3.3 *** A0A2G3D1F4_CAPCH)
Solyc04g011440.4	F.28.75	F.34.75	3.12e-63	1.47e-66	4.964	4.72e-49	1.67e-52	4.984	ethylene-responsive heat shock protein cognate 70
Solyc04g072160.3	F.28.75	F.34.75	3.52e-39	4.97e-42	5.168	1.26e-22	1.25e-25	5.215	ripening regulated protein DDTFR8
Solyc04g072760.3	F.28.75	F.34.75	0.00857	4.84e-05	0.711	0.049	0.000166	0.713	Sulfate transporter (AHRD V3.3 *** S6A1Z9_NICAT)
Solyc05g014280.4	F.28.75	F.34.75	3.9e-10	1.51e-12	4.273	0.00581	1.61e-05	4.439	small heat shock protein 1
Solyc06g036290.3	F.28.75	F.34.75	1.52e-40	1.97e-43	4.329	2.88e-23	2.65e-26	4.338	heat shock protein 90
Solyc06g072430.3	F.28.75	F.34.75	7.7e-59	5.43e-62	3.946	6.94e-54	1.48e-57	3.956	BAG family molecular chaperone regulator 5, mitochondrial (AHRD V3.3 *-* A0A2I0XHJ2_9ASPA)
Solyc06g076020.3	F.28.75	F.34.75	8.62e-13	2.84e-15	1.846	2.44e-05	5.36e-08	1.848	heat shock protein 70 kD
Solyc06g076520.1	F.28.75	F.34.75	3.56e-09	1.42e-11	3.444	0.00153	4.11e-06	3.519	Class I heat shock protein (AHRD V3.3 *** A0A2K3M3P7_TRIPR)
Solyc06g076560.2	F.28.75	F.34.75	2.54e-25	5.97e-28	4.236	6.37e-11	1.08e-13	4.292	Class I heat shock protein (AHRD V3.3 *** A0A2K3M3P7_TRIPR)
Solyc06g076570.4	F.28.75	F.34.75	1.21e-07	5.96e-10	3.938	0.0357	0.000111	4.104	Class I heat shock protein (AHRD V3.3 *** A0A2K3M3P7_TRIPR)
Solyc06g083190.4	F.28.75	F.34.75	1.7e-26	3.79e-29	4.041	6.62e-13	9.85e-16	4.085	Peptidylprolyl isomerase (AHRD V3.3 *** A0A2G3CCB5_CAPCH)
Solyc07g065840.2	F.28.75	F.34.75	0.00473	2.56e-05	0.859	0.000714	1.77e-06	0.861	molecular chaperone Hsp90-2
Solyc08g006980.3	F.28.75	F.34.75	1.16e-19	3.27e-22	2.832	2.81e-13	3.98e-16	2.845	RING/U-box superfamily protein (AHRD V3.3 *** A0A2U1LIK0_ARTAN)
Solyc08g062340.3	F.28.75	F.34.75	4.98e-31	8.79e-34	5.44	2.61e-09	5e-12	5.573	17.9 kDa class II heat shock protein (AHRD V3.3 *** A0A2G3A1B9_CAPAN)
Solyc08g062437.1	F.28.75	F.34.75	3.37e-36	5.15e-39	4.483	9.27e-33	5.92e-36	4.502	17.9 kDa class II heat shock protein (AHRD V3.3 *** A0A2G3CY92_CAPCH)
Solyc08g062960.4	F.28.75	F.34.75	1.14e-07	5.52e-10	3.481	0.00666	1.89e-05	3.555	Heat shock transcription factor (AHRD V3.3 *-* A0A1Y1I763_KLENI)
Solyc08g078700.2	F.28.75	F.34.75	1.68e-44	1.78e-47	4.345	1.57e-43	7.81e-47	4.359	mitochondrial small heat shock protein
Solyc08g079170.3	F.28.75	F.34.75	1.04e-08	4.28e-11	1.133	4.02e-09	7.98e-12	1.136	Hsp70-Hsp90 organizing protein 1 (AHRD V3.3 *** A0A1U8GC69_CAPAN)
Solyc08g079830.4	F.28.75	F.34.75	0.0056	3.1e-05	2.088	NA	NA	NA	NA
Solyc09g005120.3	F.28.75	F.34.75	8.32e-15	2.54e-17	1.342	8.39e-12	1.37e-14	1.345	DnaJ protein ERDJ3A (AHRD V3.3 *** A0A2G2VZ69_CAPBA)
Solyc09g008970.1	F.28.75	F.34.75	1.56e-08	6.77e-11	3.409	0.000895	2.35e-06	3.479	plant/protein (AHRD V3.3 *** AT3G10020.1)
NA	NA	NA	NA	NA	NA	0.0165	4.8e-05	5.964	Regulator of chromosome condensation (RCC1) family protein (AHRD V3.3 *** A0A1I9LSN5_ARATH)
Solyc09g015000.4	F.28.75	F.34.75	1.03e-07	4.87e-10	4.434	0.049	0.000167	4.666	Class I heat shock protein (AHRD V3.3 *** A0A2K3KSJ8_TRIPR)
Solyc09g015010.2	F.28.75	F.34.75	3.49e-11	1.23e-13	4.645	0.000622	1.5e-06	4.815	Gag-asp_proteas domain-containing protein (AHRD V3.3 *-* A0A1Q3CQ35_CEPFO)
Solyc09g075950.1	F.28.75	F.34.75	0.000116	6.12e-07	2.138	0.0383	0.000122	2.157	Heat shock protein 70 kDa (AHRD V3.3 *** A0A2K3P5L8_TRIPR)
Solyc09g092690.3	F.28.75	F.34.75	2.44e-61	1.44e-64	6.104	3e-30	2.34e-33	6.161	Peptidylprolyl isomerase (AHRD V3.3 *** A0A2G2W2H8_CAPBA)
Solyc10g078930.2	F.28.75	F.34.75	2.02e-13	6.42e-16	1.984	4.06e-17	4.61e-20	1.987	Activator of 90 kDa heat shock protein ATPase-like protein 1 (AHRD V3.3 *** A0A1J3GDI7_NOCCA)
Solyc10g084170.1	F.28.75	F.34.75	2.61e-28	5.22e-31	4.319	1.65e-15	1.99e-18	4.357	Bag family molecular chaperone regulator mitochondrial-like (AHRD V3.3 *** A0A2K3P7D1_TRIPR)
NA	NA	NA	NA	NA	NA	0.0175	5.34e-05	6.105	RING-type E3 ubiquitin transferase (AHRD V3.3 *** A0A2G2VFH1_CAPBA)
Solyc11g020330.1	F.28.75	F.34.75	6.79e-08	3.12e-10	4.444	0.0483	0.000157	4.702	leer-sHSP small heat shock protein
Solyc11g066060.3	F.28.75	F.34.75	7.78e-11	2.84e-13	1.438	1.32e-12	2.07e-15	1.441	70 kDa heat shock protein (AHRD V3.3 *** Q943K7_ORYSJ)
Solyc11g066100.2	F.28.75	F.34.75	6.82e-30	1.28e-32	3.178	2.03e-14	2.74e-17	3.181	Heat shock protein 70 (AHRD V3.3 *** S8C6K2_9LAMI)
Solyc11g066830.2	F.28.75	F.34.75	1.56e-08	6.61e-11	2.769	9.35e-05	2.12e-07	2.801	Zinc finger transcription factor 68
Solyc11g071830.2	F.28.75	F.34.75	9.41e-74	2.21e-77	5.252	1.57e-49	4.44e-53	5.275	DnaJ protein like (AHRD V3.3 *** A0A2I0X6P9_9ASPA)
Solyc12g005980.2	F.28.75	F.34.75	0.0331	0.000199	0.616	NA	NA	NA	NA
Solyc12g015880.2	F.28.75	F.34.75	8.43e-21	2.18e-23	2.147	5.18e-24	4.41e-27	2.15	Heat shock protein 90-1
Solyc11g066100.2	V.28.15	V.34.15	0.00392	4.68e-07	1.34	NA	NA	NA	NA
Solyc01g104740.3	V.28.30	V.34.30	0.00191	1.57e-06	2.658	NA	NA	NA	NA
Solyc03g007890.3	V.28.30	V.34.30	3.84e-06	1.35e-09	2.541	4.62e-05	8.53e-09	2.551	class 2 small heat shock protein Le-HSP17.6
Solyc03g115230.3	V.28.30	V.34.30	6.69e-05	3.15e-08	1.669	0.000547	1.35e-07	1.673	Solanum lycopersicum heat shock protein
Solyc06g036290.3	V.28.30	V.34.30	0.000364	2.14e-07	2.152	0.00172	5.3e-07	2.16	heat shock protein 90
Solyc06g072430.3	V.28.30	V.34.30	1.16e-07	1.37e-11	2.785	2.74e-06	1.69e-10	2.796	BAG family molecular chaperone regulator 5, mitochondrial (AHRD V3.3 *-* A0A2I0XHJ2_9ASPA)
Solyc06g076020.3	V.28.30	V.34.30	0.00118	8.34e-07	1.501	NA	NA	NA	NA
Solyc08g062437.1	V.28.30	V.34.30	0.0284	2.67e-05	2.213	NA	NA	NA	NA
Solyc11g066060.3	V.28.30	V.34.30	0.043	4.55e-05	0.951	NA	NA	NA	NA
Solyc11g066100.2	V.28.30	V.34.30	2.48e-06	5.84e-10	1.825	5.28e-06	6.49e-10	1.83	Heat shock protein 70 (AHRD V3.3 *** S8C6K2_9LAMI)
Solyc01g081250.3	V.28.45	V.34.45	5.85e-11	6.15e-14	2.955	4.73e-10	1.44e-13	2.965	Glutathione S-transferase (AHRD V3.3 *** A0A200PVK3_9MAGN)
Solyc01g095320.4	V.28.45	V.34.45	1.97e-12	1.38e-15	3.561	0.000292	3.33e-07	3.572	Bag family molecular chaperone regulator 6-like protein (AHRD V3.3 *** A0A2K3PRI9_TRIPR)
Solyc01g102960.3	V.28.45	V.34.45	9.11e-10	1.17e-12	3.213	1.68e-08	6.36e-12	3.23	22.0 kDa class IV heat shock protein (AHRD V3.3 *** A0A2G3ATG3_CAPCH)
Solyc01g104740.3	V.28.45	V.34.45	5.52e-08	9.03e-11	2.829	0.0105	1.99e-05	2.834	Multiprotein-bridging factor 1c (AHRD V3.3 *** A0A1U8F6N4_CAPAN)
Solyc02g079930.3	V.28.45	V.34.45	0.0336	0.000133	1.076	NA	NA	NA	NA
Solyc02g088610.4	V.28.45	V.34.45	7.3e-09	1.02e-11	2.899	5.67e-07	3.01e-10	2.915	LeHSP110/ClpB heat shock protein
Solyc03g007890.3	V.28.45	V.34.45	2.02e-12	1.65e-15	3.107	0.000331	4.02e-07	3.114	class 2 small heat shock protein Le-HSP17.6
Solyc03g082420.3	V.28.45	V.34.45	0.000426	1.29e-06	3.078	0.00203	3.08e-06	3.11	Small heat shock protein, chloroplastic (AHRD V3.3 *** HS21C_SOLLC)
Solyc03g115230.3	V.28.45	V.34.45	6.7e-12	6.25e-15	2.683	0.000724	9.89e-07	2.684	Solanum lycopersicum heat shock protein
Solyc03g117630.1	V.28.45	V.34.45	1.45e-06	2.87e-09	2.282	0.000114	1.13e-07	2.292	Heat shock 70 kDa protein (AHRD V3.3 *** A0A1U8FVW2_CAPAN)
Solyc03g120090.1	V.28.45	V.34.45	0.00661	2.31e-05	1.201	NA	NA	NA	NA
Solyc03g123540.3	V.28.45	V.34.45	1.5e-06	3.14e-09	3.453	0.00445	7.42e-06	3.522	17.4 kDa class III heat shock protein (AHRD V3.3 *** A0A2G3D1F4_CAPCH)
Solyc04g011440.4	V.28.45	V.34.45	2.77e-10	3.24e-13	2.994	4.73e-10	1.24e-13	3.004	ethylene-responsive heat shock protein cognate 70
Solyc04g072160.3	V.28.45	V.34.45	2.6e-06	5.77e-09	3.055	3.15e-05	2.63e-08	3.077	ripening regulated protein DDTFR8
Solyc05g053570.4	V.28.45	V.34.45	0.016	5.79e-05	-0.727	NA	NA	NA	NA
Solyc06g036290.3	V.28.45	V.34.45	1.85e-14	4.32e-18	2.864	3.04e-05	2.3e-08	2.87	heat shock protein 90
Solyc06g072430.3	V.28.45	V.34.45	3.36e-13	1.57e-16	2.919	7.46e-05	6.8e-08	2.919	BAG family molecular chaperone regulator 5, mitochondrial (AHRD V3.3 *-* A0A2I0XHJ2_9ASPA)
Solyc06g076020.3	V.28.45	V.34.45	0.000412	1.2e-06	1.048	NA	NA	NA	NA
Solyc06g076560.2	V.28.45	V.34.45	0.00122	4e-06	2.678	0.0199	3.93e-05	2.712	Class I heat shock protein (AHRD V3.3 *** A0A2K3M3P7_TRIPR)
Solyc06g083190.4	V.28.45	V.34.45	0.0161	6.02e-05	1.943	NA	NA	NA	NA
Solyc07g053615.1	V.28.45	V.34.45	0.0172	6.61e-05	1.093	NA	NA	NA	NA
Solyc08g006980.3	V.28.45	V.34.45	3.27e-05	8.4e-08	2.112	0.00203	2.98e-06	2.127	RING/U-box superfamily protein (AHRD V3.3 *** A0A2U1LIK0_ARTAN)
Solyc08g062437.1	V.28.45	V.34.45	1.74e-08	2.63e-11	2.9	2.79e-08	1.27e-11	2.91	17.9 kDa class II heat shock protein (AHRD V3.3 *** A0A2G3CY92_CAPCH)
Solyc08g062960.4	V.28.45	V.34.45	1.38e-06	2.57e-09	4.031	0.0489	1e-04	4.203	Heat shock transcription factor (AHRD V3.3 *-* A0A1Y1I763_KLENI)
Solyc08g078700.2	V.28.45	V.34.45	1.54e-17	1.8e-21	3.357	1.96e-17	1.49e-21	3.366	mitochondrial small heat shock protein
Solyc09g005120.3	V.28.45	V.34.45	0.00541	1.83e-05	1.013	0.00886	1.61e-05	1.014	DnaJ protein ERDJ3A (AHRD V3.3 *** A0A2G2VZ69_CAPBA)
Solyc09g092690.3	V.28.45	V.34.45	2.2e-05	5.4e-08	2.744	0.000338	4.37e-07	2.766	Peptidylprolyl isomerase (AHRD V3.3 *** A0A2G2W2H8_CAPBA)
Solyc10g078930.2	V.28.45	V.34.45	0.00044	1.39e-06	0.837	0.00221	3.53e-06	0.837	Activator of 90 kDa heat shock protein ATPase-like protein 1 (AHRD V3.3 *** A0A1J3GDI7_NOCCA)
Solyc10g084170.1	V.28.45	V.34.45	0.000121	3.24e-07	2.382	0.00885	1.55e-05	2.403	Bag family molecular chaperone regulator mitochondrial-like (AHRD V3.3 *** A0A2K3P7D1_TRIPR)
Solyc11g066060.3	V.28.45	V.34.45	3.26e-06	7.61e-09	0.931	8.21e-06	5.61e-09	0.93	70 kDa heat shock protein (AHRD V3.3 *** Q943K7_ORYSJ)
Solyc11g066100.2	V.28.45	V.34.45	1.18e-12	6.9e-16	2.263	0.000292	3.11e-07	2.265	Heat shock protein 70 (AHRD V3.3 *** S8C6K2_9LAMI)
Solyc11g066830.2	V.28.45	V.34.45	0.000229	6.42e-07	2.207	NA	NA	NA	NA
Solyc11g071830.2	V.28.45	V.34.45	1.85e-13	6.47e-17	3.11	1.37e-12	2.07e-16	3.12	DnaJ protein like (AHRD V3.3 *** A0A2I0X6P9_9ASPA)
Solyc12g015880.2	V.28.45	V.34.45	1.18e-06	2.07e-09	1.263	3.95e-06	2.4e-09	1.262	Heat shock protein 90-1
Solyc01g081250.3	V.28.75	V.34.75	1.52e-30	5.31e-34	4.607	2.06e-14	1.59e-17	4.628	Glutathione S-transferase (AHRD V3.3 *** A0A200PVK3_9MAGN)
Solyc01g095320.4	V.28.75	V.34.75	6.63e-24	8.49e-27	3.927	9.83e-10	1.43e-12	3.942	Bag family molecular chaperone regulator 6-like protein (AHRD V3.3 *** A0A2K3PRI9_TRIPR)
